City,County,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
yola,ng,1509314759,9.2,12.48,24.01,73,0,1.07
neuquen,ar,1509310800,-38.95,-68.06,20.0,20,0,9.3
grand gaube,mu,1509310800,-20.01,57.66,23.0,88,75,2.1
guzelyurt,cy,1509312000,38.28,34.37,12.0,71,75,3.1
namatanai,pg,1509314760,-3.67,152.43,27.34,100,80,2.17
beyneu,kz,1509314760,45.32,55.2,4.59,96,12,2.97
nueve de julio,ar,1509314711,-35.44,-60.88,18.24,83,80,4.52
moose factory,ca,1509312300,51.28,-80.63,0.0,77,90,2.1
boralday,kz,1509312600,43.36,76.86,4.0,80,40,1.62
grand river south east,mu,1509310800,-20.29,57.78,23.0,88,75,2.1
poronaysk,ru,1509314762,49.22,143.12,2.76,100,92,10.42
aneho,tg,1509310800,6.23,1.6,28.0,78,20,3.6
cockburn town,tc,1509314762,21.46,-71.14,28.11,99,44,2.87
yerbogachen,ru,1509314763,61.28,108.01,-3.79,95,76,2.57
tasiilaq,gl,1509313800,65.61,-37.64,2.0,64,5,5.1
panguna,pg,1509314763,-6.32,155.48,21.81,98,92,0.92
farim,gw,1509310800,12.48,-15.22,30.0,84,0,1.22
tunceli,tr,1509311340,39.11,39.55,13.0,93,75,2.1
upernavik,gl,1509314764,72.79,-56.15,-3.99,100,32,9.82
barabinsk,ru,1509314765,55.36,78.36,-9.02,90,0,3.42
igarka,ru,1509314765,67.47,86.58,-5.52,92,92,4.92
bela vista,br,1509314766,-22.11,-56.52,27.66,73,32,4.82
gisborne,nz,1509314766,-38.65,178.0,15.31,80,0,3.97
kamenka,ru,1509314766,51.32,42.77,3.46,97,0,3.42
port moresby,pg,1509314766,-9.44,147.18,27.01,100,8,3.02
katsuura,jp,1509312720,35.13,140.3,18.0,59,40,2.1
yulara,au,1509310800,-25.24,130.99,19.0,48,0,5.7
rio do sul,br,1509314767,-27.21,-49.64,22.76,73,88,3.02
saskylakh,ru,1509314767,71.92,114.08,-15.14,86,76,1.42
acapulco,mx,1509312180,16.86,-99.89,24.0,94,90,6.2
khonuu,ru,1509314768,64.57,143.2,-22.74,72,76,1.17
maarianhamina,fi,1509313800,60.1,19.93,4.0,69,75,9.8
bikin,ru,1509314768,46.82,134.26,-4.24,72,0,2.77
paka,my,1509310800,4.64,103.44,23.0,100,76,2.1
butaritari,ki,1509314769,3.07,172.79,28.51,100,44,5.02
samarai,pg,1509314769,-10.62,150.67,24.71,100,80,4.22
boddam,gb,1509313800,57.47,-1.78,6.0,81,75,4.6
presidencia roque saenz pena,ar,1509314770,-26.79,-60.44,21.16,96,64,5.92
rio grande,br,1509309900,-32.03,-52.1,22.0,73,90,6.7
agirish,ru,1509314770,61.92,63.02,-11.09,80,0,2.42
cidreira,br,1509314771,-30.18,-50.21,19.81,88,32,7.27
valparaiso,cl,1509314400,-33.04,-71.63,16.0,55,0,4.6
berlevag,no,1509313800,70.86,29.09,2.0,69,40,10.3
mataura,pf,1509314771,27.5,77.68,17.46,73,0,1.22
mahebourg,mu,1509310800,-20.41,57.7,23.0,88,75,2.1
sao joao da barra,br,1509310800,-21.64,-41.05,25.0,78,90,6.7
dharchula,in,1509314773,29.85,80.53,1.44,68,0,0.97
moerai,pf,1509314773,-22.43,-151.33,22.81,100,64,6.47
rungata,ki,1509313800,60.25,24.07,1.0,100,75,6.2
tanshui,tw,1509314773,22.17,111.78,15.26,54,0,4.07
illapel,cl,1509314773,-31.63,-71.17,13.06,80,8,2.22
amahai,id,1509314774,-3.33,128.92,27.96,100,32,0.57
belmonte,br,1509310800,-15.86,-38.88,26.0,83,20,8.2
alappuzha,in,1509314660,9.49,76.33,27.26,100,76,2.07
ipua,br,1509314775,-20.44,-48.01,27.59,60,36,1.82
naantali,fi,1509313800,60.45,22.03,1.0,96,80,5.1
paso de carrasco,uy,1509310800,-34.86,-56.05,22.0,73,75,2.6
xiaoweizhai,cn,1509314775,26.19,107.51,6.74,89,8,2.02
peniche,pt,1509312600,39.36,-9.38,21.0,28,0,3.6
ambon,id,1509310800,-3.7,128.18,24.0,83,20,0.5
kaeo,nz,1509314776,-35.1,173.78,15.96,96,100,5.42
hamilton,us,1509310800,43.23,-79.95,9.0,75,90,2.1
wewak,pg,1509314777,-3.55,143.63,22.36,100,92,1.02
artyom,az,1509312600,40.47,50.33,22.0,43,0,5.7
amuntai,id,1509314777,-2.42,115.25,23.74,95,32,0.67
naze,jp,1509312600,28.37,129.48,19.0,55,40,6.2
kaitangata,nz,1509314778,-46.23,169.75,17.74,76,0,1.97
abnub,eg,1509310800,27.27,31.15,19.0,52,0,2.1
baghdad,iq,1509314400,33.34,44.4,21.0,40,0,1.0
biskamzha,ru,1509314778,53.45,89.53,-2.94,84,80,3.02
candido de abreu,br,1509314779,-24.57,-51.33,17.84,99,92,1.37
xichang,cn,1509314779,27.9,102.26,7.94,98,92,0.72
el alto,pe,1509314779,-4.27,-81.21,25.81,70,76,2.72
avarua,ck,1509310800,-21.21,-159.78,25.0,69,75,1.5
rocha,uy,1509314780,-34.48,-54.33,20.74,65,88,5.37
saint-ambroise,ca,1509312540,48.55,-71.33,8.0,100,90,1.5
mitsamiouli,km,1509310800,-11.38,43.28,25.0,94,20,1.0
huai yot,th,1509314781,7.79,99.63,24.44,93,92,1.27
ancud,cl,1509314781,-41.87,-73.82,10.41,76,92,4.22
price,us,1509313980,39.6,-110.81,17.0,25,1,2.1
sharjah,ae,1509310800,25.36,55.4,29.0,78,0,1.5
skibbereen,ie,1509314400,51.55,-9.27,10.0,93,40,1.0
lebu,cl,1509314783,-37.62,-73.65,12.26,100,92,8.72
baculin,ph,1509314514,7.45,126.58,25.01,96,24,2.77
pagudpud,ph,1509314400,18.56,120.79,25.0,83,90,4.1
batagay-alyta,ru,1509314783,67.8,130.41,-32.59,38,0,2.97
puerto ayora,ec,1509310800,-0.74,-90.35,25.0,61,75,6.7
saint anthony,ca,1509312900,45.02,-93.22,8.0,84,40,4.02
antofagasta,cl,1509310800,-23.65,-70.4,16.0,67,20,7.2
ponta delgada,pt,1509312600,37.73,-25.67,21.0,94,40,2.1
brae,gb,1509313800,60.4,-1.35,5.0,75,56,5.1
batagay,ru,1509314785,67.63,134.63,-18.14,76,64,2.97
shubarshi,kz,1509314785,48.59,57.19,3.41,88,80,6.12
farafangana,mg,1509314785,-22.82,47.83,21.66,100,100,8.97
ndjole,ga,1509314786,-0.18,10.76,22.66,97,64,0.52
kalisz,pl,1509314786,51.76,18.09,3.84,95,92,9.97
montlucon,fr,1509314786,46.33,2.6,9.86,100,92,3.57
aykhal,ru,1509314787,66.0,111.5,-21.02,67,68,1.27
tura,ru,1509314787,25.52,90.22,18.94,98,68,0.92
verkh-chebula,ru,1509314787,56.03,87.62,-2.82,74,64,4.67
xingcheng,cn,1509314788,40.62,120.72,-3.79,85,0,1.52
picton,ca,1509312600,-34.18,150.6,28.0,42,0,5.1
hobart,au,1509312600,-42.88,147.33,11.0,57,75,6.2
liling,cn,1509310800,27.67,113.5,13.0,66,0,3.0
kargapolye,ru,1509314789,55.86,64.22,-2.32,97,88,6.02
umm lajj,sa,1509314789,25.02,37.27,23.11,97,0,3.82
abu samrah,qa,1509314790,35.17,37.25,15.09,86,8,3.27
turinsk,ru,1509314790,58.05,63.7,-8.07,88,80,3.07
waupun,us,1509311700,43.63,-88.73,8.0,48,90,3.6
svetlyy,ru,1509310800,54.67,20.13,7.0,70,75,11.0
muros,es,1509312600,42.78,-9.06,13.0,82,20,3.6
san patricio,mx,1509310440,19.22,-104.7,31.0,79,20,5.1
buala,sb,1509314791,-8.14,159.59,24.84,100,100,1.87
shenjiamen,cn,1509314792,29.96,122.3,17.11,100,68,11.32
nouakchott,mr,1509314792,18.09,-15.98,28.71,87,76,7.42
morlaix,fr,1509312600,48.58,-3.83,13.0,93,40,2.6
karpogory,ru,1509314793,64.0,44.45,-2.09,82,80,2.37
metkovic,hr,1509312600,43.05,17.65,14.0,47,75,9.8
inverell,au,1509314793,-29.78,151.12,17.11,87,12,2.97
hasaki,jp,1509312600,35.73,140.83,16.0,59,20,6.2
bambous virieux,mu,1509310800,-20.34,57.76,23.0,88,75,2.1
seoul,kr,1509314400,37.57,126.98,4.0,35,0,5.1
sobolevo,ru,1509312600,55.5,38.65,6.0,87,75,4.0
kirakira,sb,1509314794,-10.45,161.92,24.34,100,92,7.07
marion,us,1509314220,40.59,-83.13,6.0,70,90,5.7
belushya guba,ru,1509314795,69.71,60.05,-2.59,100,76,8.52
lata,sb,1509310800,40.16,-8.33,14.0,76,0,1.5
san quintin,mx,1509314795,30.48,-115.95,25.19,46,0,1.92
maragogi,br,1509314746,-9.01,-35.22,25.16,85,100,4.37
krasnoselkup,ru,1509314796,65.7,82.47,-6.17,93,80,5.32
tiksi,ru,1509314796,71.69,128.87,-17.02,80,48,5.47
pulaski,us,1509314100,37.05,-80.78,7.0,80,90,6.7
oparino,ru,1509314797,59.85,48.28,2.41,97,92,3.07
vidim,ru,1509314797,56.41,103.11,-0.09,94,92,2.57
victoria,sc,1509311700,48.43,-123.37,19.0,45,20,2.1
katherine,au,1509312600,-14.47,132.27,24.0,88,0,3.1
roald,no,1509313800,62.58,6.13,4.0,80,40,8.7
wajir,ke,1509314798,1.75,40.06,22.01,93,88,3.82
damavand,ir,1509312600,35.72,52.06,19.0,46,0,2.1
mezen,ru,1509314799,65.85,44.24,-3.29,81,76,2.57
tabulbah,tn,1509310800,-3.68,-38.65,27.0,74,0,3.6
port hardy,ca,1509310800,50.7,-127.42,9.0,100,75,1.17
alindao,cf,1509314800,5.03,21.21,21.86,91,36,1.22
cadillac,us,1509312900,44.25,-85.4,7.0,62,90,1.5
warner robins,us,1509312900,32.62,-83.6,10.0,52,1,6.2
yakima,us,1509310380,46.6,-120.51,20.0,28,1,5.7
san andres,co,1509314717,12.58,-81.7,28.34,100,0,4.52
san policarpo,ph,1509314800,12.18,125.51,25.36,100,44,2.32
mehamn,no,1509313800,71.04,27.85,2.0,69,40,10.3
peru,us,1509312900,40.75,-86.07,7.0,56,1,4.1
pong,th,1509314801,19.15,100.28,19.76,97,44,1.07
zheleznodorozhnyy,ru,1509312600,55.75,38.0,6.0,87,75,4.0
gloucester,us,1509314160,51.87,-2.24,7.0,81,75,1.5
leeuwarden,nl,1509314100,53.2,5.81,10.0,75,20,6.7
rikitea,pf,1509314802,-23.12,-134.97,22.91,100,24,2.22
viligili,mv,1509314802,-14.56,30.81,22.99,61,92,6.17
hofn,is,1509314803,64.25,-15.21,5.19,100,68,8.27
sorvag,fo,1509313800,60.15,24.76,1.0,100,75,6.2
saleaula,ws,1509312600,17.31,78.48,18.0,100,20,1.0
cochrane,ca,1509313080,51.18,-114.47,4.0,45,90,7.7
haines junction,ca,1509314804,60.75,-137.51,-4.69,81,64,1.17
nioro,ml,1509314804,13.35,-15.75,27.46,65,0,1.87
husavik,is,1509310800,66.04,-17.34,8.0,61,0,9.3
teseney,er,1509314804,15.11,36.66,24.86,51,0,2.87
samalaeulu,ws,1509314805,-15.0,24.0,21.66,65,92,6.52
teahupoo,pf,1509312600,-17.83,-149.27,27.0,74,75,5.1
karatau,kz,1509314805,43.17,70.47,13.86,81,92,5.27
hamilton,bm,1509310800,43.23,-79.95,9.0,75,90,2.1
norman wells,ca,1509310800,65.28,-126.83,1.0,86,40,1.5
saint george,bm,1509314160,37.1,-113.58,24.0,17,1,1.42
okha,ru,1509314807,53.57,142.95,-0.99,91,80,4.92
samusu,ws,1509314807,41.43,128.03,-9.74,75,0,1.52
san,ml,1509314807,13.3,-4.9,21.91,60,0,1.52
vestmanna,fo,1509313800,62.16,-7.17,2.0,80,0,0.5
okhotsk,ru,1509314808,59.38,143.3,-8.34,100,56,4.77
georgetown,sh,1509310800,6.8,-58.16,28.0,88,40,1.0
bocana de paiwas,ni,1509314808,12.79,-85.12,27.26,75,76,1.72
barrow,us,1509310380,71.29,-156.79,-7.0,85,90,8.2
nikolskoye,ru,1509312600,59.68,30.67,3.0,93,90,1.22
severo-kurilsk,ru,1509314809,50.68,156.12,5.76,96,92,8.42
jamestown,sh,1509314160,42.1,-79.24,7.0,100,90,4.6
pontianak,id,1509310800,-0.03,109.33,24.0,94,40,0.67
zverinogolovskoye,ru,1509314810,54.46,64.85,1.21,97,92,5.22
bethel,us,1509314160,41.37,-73.41,18.0,93,90,7.7
marienburg,sr,1509314400,5.85,-55.02,28.0,78,20,1.0
sorada,in,1509314811,19.75,84.43,19.96,87,0,1.12
kopidlno,cz,1509310800,50.33,15.27,5.0,75,75,7.7
sindor,ru,1509314811,62.86,51.89,-4.52,80,76,4.32
taoudenni,ml,1509314812,22.68,-3.98,22.21,23,0,3.57
college,us,1509310680,64.86,-147.8,1.0,96,75,1.77
ascension,bo,1509314813,-15.7,-63.08,31.86,49,0,3.27
mitu,co,1509314813,1.2,-70.17,30.74,69,8,1.27
fairbanks,us,1509310680,64.84,-147.72,1.0,96,75,1.77
cayenne,gf,1509312600,4.93,-52.33,28.0,78,90,1.0
satitoa,ws,1509313800,61.5,27.27,1.0,100,90,2.1
kupang,id,1509310800,-10.17,123.58,24.0,94,20,0.62
puri,in,1509312780,19.8,85.85,26.0,88,75,3.02
karpathos,gr,1509310200,35.51,27.21,18.0,68,20,6.2
zyryanka,ru,1509314815,65.75,150.85,-14.77,74,80,5.57
tombouctou,ml,1509314815,16.77,-3.01,21.49,25,0,3.82
bella vista,py,1509314100,36.43,-94.23,18.0,37,1,1.5
amderma,ru,1509314816,69.75,61.65,-6.14,92,68,6.42
half moon bay,us,1509312900,37.46,-122.43,21.0,93,90,2.02
